Reward,Success,Steps
-1699,0,667
-1277,0,1200
-1284,0,1200
-1261,0,1200
-1280,0,1200
-1233,0,1200
-1242,0,1200
-1205,0,1200
-1240,0,1200
-1261,0,1200
-1211,0,1200
-1253,0,1200
-1244,0,1200
-1270,0,1200
-1284,0,1200
-1282,0,1200
-1307,0,1200
-1231,0,1200
-1227,0,1200
-1226,0,1200
-1609,0,588
-1280,0,1200
-1277,0,1200
-1246,0,1200
-1288,0,1200
-1261,0,1200
-1270,0,1200
-1298,0,1200
-1262,0,1200
-1265,0,1200
-1294,0,1200
-1259,0,1200
-1269,0,1200
-1246,0,1200
-1241,0,1200
-1254,0,1200
-1238,0,1200
-1286,0,1200
-1228,0,1200
-1258,0,1200
-1555,0,550
-1289,0,1200
-1331,0,1200
-1259,0,1200
-1253,0,1200
-1205,0,1200
-1281,0,1200
-1252,0,1200
-1224,0,1200
-1229,0,1200
-1235,0,1200
-1254,0,1200
-1230,0,1200
-2149,0,1101
-1231,0,1200
-1241,0,1200
-1256,0,1200
-1235,0,1200
-1278,0,1200
-1239,0,1200
-1237,0,1200
-1285,0,1200
-1244,0,1200
-1843,0,796
-1277,0,1200
-1248,0,1200
-1270,0,1200
-1272,0,1200
-1234,0,1200
-1233,0,1200
-1619,0,611
-1228,0,1200
-1222,0,1200
-1227,0,1200
-1216,0,1200
-1247,0,1200
-1248,0,1200
-1214,0,1200
-1242,0,1200
-1226,0,1200
-1233,0,1200
-1246,0,1200
-1275,0,1200
-1252,0,1200
-1259,0,1200
-1258,0,1200
-1243,0,1200
-1211,0,1200
-1240,0,1200
-1221,0,1200
-1266,0,1200
-1253,0,1200
-1241,0,1200
-1235,0,1200
-1225,0,1200
-1981,0,970
-1229,0,1200
-1265,0,1200
-1217,0,1200
-1250,0,1200
-1237,0,1200
-1240,0,1200
-1230,0,1200
-1274,0,1200
-1274,0,1200
-1256,0,1200
-1251,0,1200
-1244,0,1200
-1255,0,1200
-1243,0,1200
-1259,0,1200
-1251,0,1200
-1279,0,1200
-1243,0,1200
-1246,0,1200
-1232,0,1200
-1216,0,1200
-1239,0,1200
-1229,0,1200
-1279,0,1200
-1247,0,1200
-1274,0,1200
-1276,0,1200
-1247,0,1200
-1216,0,1200
-1246,0,1200
-1272,0,1200
-1287,0,1200
-1210,0,1200
-1292,0,1200
-1235,0,1200
-1239,0,1200
-1244,0,1200
-1252,0,1200
-1217,0,1200
-1269,0,1200
-1236,0,1200
-1253,0,1200
-1246,0,1200
-1249,0,1200
-1218,0,1200
-1232,0,1200
-1229,0,1200
-1230,0,1200
-1244,0,1200
-1220,0,1200
-1283,0,1200
-1258,0,1200
-1251,0,1200
-1230,0,1200
-1246,0,1200
-1237,0,1200
-1215,0,1200
-1239,0,1200
-1244,0,1200
-1263,0,1200
-1240,0,1200
-1234,0,1200
-1221,0,1200
-1234,0,1200
-1268,0,1200
-1233,0,1200
-1250,0,1200
-1237,0,1200
-1219,0,1200
-1215,0,1200
-1241,0,1200
-1232,0,1200
-1219,0,1200
-1257,0,1200
-1230,0,1200
-1274,0,1200
-1252,0,1200
-1232,0,1200
-1234,0,1200
-1222,0,1200
-2211,0,1176
-1250,0,1200
-1245,0,1200
-1227,0,1200
-1929,0,891
-1237,0,1200
-1219,0,1200
-1223,0,1200
-1215,0,1200
-1250,0,1200
-1210,0,1200
-1234,0,1200
-1246,0,1200
-1230,0,1200
-2153,0,1090
-1237,0,1200
-1283,0,1200
-1211,0,1200
-1241,0,1200
-1235,0,1200
-1220,0,1200
-1247,0,1200
-1218,0,1200
-1262,0,1200
-1205,0,1200
-1262,0,1200
-1222,0,1200
-1229,0,1200
-1268,0,1200
-1233,0,1200
-1214,0,1200
-1246,0,1200
-1225,0,1200
-1243,0,1200
-1219,0,1200
-1219,0,1200
-1235,0,1200
-1236,0,1200
-1245,0,1200
-1246,0,1200
-2063,0,1021
-1253,0,1200
-1264,0,1200
-1271,0,1200
-1226,0,1200
-1219,0,1200
-1248,0,1200
-1215,0,1200
-1251,0,1200
-1276,0,1200
