Reward,Success,Steps
-1675,0,661
-1251,0,1200
-1269,0,1200
-1232,0,1200
-1223,0,1200
-1232,0,1200
-1278,0,1200
-1224,0,1200
-1242,0,1200
-1262,0,1200
-1271,0,1200
-1222,0,1200
-1243,0,1200
-1235,0,1200
-1253,0,1200
-1261,0,1200
-1247,0,1200
-1241,0,1200
-1247,0,1200
-1242,0,1200
-1233,0,1200
-1212,0,1200
-1214,0,1200
-1230,0,1200
-1228,0,1200
-1215,0,1200
-1221,0,1200
-1218,0,1200
-1221,0,1200
-1222,0,1200
-1214,0,1200
-1219,0,1200
-1229,0,1200
-1213,0,1200
-1213,0,1200
-1241,0,1200
-1220,0,1200
-1204,0,1200
-1208,0,1200
-1224,0,1200
-1211,0,1200
-1207,0,1200
-1214,0,1200
-1208,0,1200
-1205,0,1200
-1204,0,1200
-1211,0,1200
-1200,0,1200
-1205,0,1200
-1211,0,1200
-1226,0,1200
-2049,0,1050
-1205,0,1200
-1207,0,1200
-1202,0,1200
-1209,0,1200
-1214,0,1200
-1211,0,1200
-1217,0,1200
-1203,0,1200
-1201,0,1200
-1204,0,1200
-1209,0,1200
-1202,0,1200
-1205,0,1200
-1200,0,1200
-1204,0,1200
-1200,0,1200
-1213,0,1200
-1211,0,1200
-1203,0,1200
-1204,0,1200
-1206,0,1200
-1200,0,1200
-1201,0,1200
-1204,0,1200
-1201,0,1200
-1202,0,1200
-1202,0,1200
-1202,0,1200
-1231,0,1200
-1207,0,1200
-1200,0,1200
-1206,0,1200
-1201,0,1200
-1211,0,1200
-1201,0,1200
-1200,0,1200
-1205,0,1200
-1205,0,1200
-1201,0,1200
-1201,0,1200
-1202,0,1200
-1203,0,1200
-1201,0,1200
-1202,0,1200
-1202,0,1200
-1216,0,1200
-1206,0,1200
-1204,0,1200
-1239,0,1200
-1201,0,1200
-1202,0,1200
-1201,0,1200
-1213,0,1200
-1200,0,1200
-1200,0,1200
-1214,0,1200
-1200,0,1200
-1200,0,1200
-1201,0,1200
-1201,0,1200
-1200,0,1200
-1200,0,1200
-1201,0,1200
-1200,0,1200
-1201,0,1200
-1201,0,1200
-1202,0,1200
-1200,0,1200
-1201,0,1200
-1202,0,1200
-1201,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1233,0,1200
-1204,0,1200
-1200,0,1200
-1221,0,1200
-1200,0,1200
-1202,0,1200
-1206,0,1200
-1200,0,1200
-1200,0,1200
-1201,0,1200
-1200,0,1200
-1200,0,1200
-1214,0,1200
-1417,0,418
-1200,0,1200
-2097,0,1094
-1200,0,1200
-1200,0,1200
-1202,0,1200
-1200,0,1200
-1200,0,1200
-1201,0,1200
-1205,0,1200
-1200,0,1200
-1201,0,1200
-1201,0,1200
-1200,0,1200
-1200,0,1200
-1201,0,1200
-1207,0,1200
-1200,0,1200
-1200,0,1200
-1203,0,1200
-1210,0,1200
-1200,0,1200
-1200,0,1200
-1207,0,1200
-1201,0,1200
-1200,0,1200
-1202,0,1200
-1210,0,1200
-1200,0,1200
-1200,0,1200
-1203,0,1200
-1200,0,1200
-1200,0,1200
-2143,0,1129
-1201,0,1200
-1205,0,1200
-1200,0,1200
-1200,0,1200
-1201,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1201,0,1200
-1200,0,1200
-1200,0,1200
-1201,0,1200
-1218,0,1200
-1203,0,1200
-1200,0,1200
-1200,0,1200
-1201,0,1200
-1200,0,1200
-1207,0,1200
-1215,0,1200
-1200,0,1200
-1201,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1204,0,1200
-1200,0,1200
-1202,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1201,0,1200
-1200,0,1200
-1216,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1201,0,1200
-1206,0,1200
-1205,0,1200
-1204,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1202,0,1200
-1200,0,1200
-1200,0,1200
-1229,0,1200
-1200,0,1200
-1203,0,1200
-1201,0,1200
-1200,0,1200
-1200,0,1200
-1201,0,1200
-1200,0,1200
-1201,0,1200
-1200,0,1200
-1200,0,1200
-1201,0,1200
-1200,0,1200
-1202,0,1200
-1200,0,1200
-1201,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1201,0,1200
-1201,0,1200
-1200,0,1200
-1214,0,1200
-1201,0,1200
-1200,0,1200
-1201,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1201,0,1200
-1200,0,1200
-1981,0,962
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1201,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1201,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1202,0,1200
-1206,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1200,0,1200
-1201,0,1200
-1200,0,1200
-1201,0,1200
-1203,0,1200
-1200,0,1200
