Reward,Success,Steps
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
1000,1,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
1000,1,407
1000,1,462
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
1000,1,292
0,0,1000
0,0,1000
1000,1,629
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
1000,1,224
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
1000,1,188
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
1000,1,266
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
1000,1,180
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
1000,1,206
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
1000,1,232
0,0,1000
0,0,1000
1000,1,442
0,0,1000
0,0,1000
0,0,1000
0,0,1000
1000,1,160
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
1000,1,370
1000,1,132
1000,1,572
0,0,1000
1000,1,264
1000,1,128
0,0,1000
0,0,1000
1000,1,174
0,0,1000
0,0,1000
0,0,1000
1000,1,643
0,0,1000
0,0,1000
1000,1,548
1000,1,220
1000,1,148
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
1000,1,108
0,0,1000
0,0,1000
1000,1,185
0,0,1000
0,0,1000
0,0,1000
1000,1,146
1000,1,366
0,0,1000
1000,1,322
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
1000,1,124
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
1000,1,104
0,0,1000
0,0,1000
1000,1,210
1000,1,276
0,0,1000
0,0,1000
0,0,1000
1000,1,204
1000,1,164
0,0,1000
1000,1,100
0,0,1000
1000,1,124
1000,1,168
1000,1,566
0,0,1000
1000,1,140
0,0,1000
1000,1,138
0,0,1000
1000,1,120
1000,1,284
0,0,1000
1000,1,134
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
0,0,1000
1000,1,114
1000,1,164
0,0,1000
0,0,1000
1000,1,552
1000,1,136
0,0,1000
0,0,1000
0,0,1000
1000,1,124
1000,1,785
1000,1,136
1000,1,152
1000,1,114
1000,1,112
0,0,1000
0,0,1000
1000,1,123
1000,1,208
1000,1,180
1000,1,124
0,0,1000
1000,1,132
0,0,1000
1000,1,278
1000,1,158
1000,1,114
1000,1,116
0,0,1000
0,0,1000
1000,1,108
1000,1,149
0,0,1000
0,0,1000
0,0,1000
0,0,1000
1000,1,92
1000,1,126
1000,1,216
0,0,1000
1000,1,222
1000,1,88
1000,1,158
0,0,1000
1000,1,84
1000,1,94
0,0,1000
1000,1,124
1000,1,142
0,0,1000
1000,1,148
1000,1,84
1000,1,100
0,0,1000
1000,1,128
1000,1,170
1000,1,128
0,0,1000
1000,1,216
1000,1,156
0,0,1000
1000,1,94
0,0,1000
0,0,1000
1000,1,94
0,0,1000
0,0,1000
1000,1,170
0,0,1000
1000,1,88
1000,1,96
1000,1,94
1000,1,190
1000,1,118
1000,1,122
1000,1,104
0,0,1000
1000,1,262
1000,1,118
0,0,1000
1000,1,136
1000,1,98
0,0,1000
1000,1,142
1000,1,84
1000,1,197
0,0,1000
0,0,1000
0,0,1000
1000,1,90
1000,1,166
0,0,1000
1000,1,98
1000,1,144
1000,1,84
1000,1,86
1000,1,120
1000,1,106
1000,1,106
0,0,1000
1000,1,98
1000,1,96
1000,1,140
0,0,1000
1000,1,100
1000,1,134
1000,1,114
1000,1,154
1000,1,115
1000,1,110
0,0,1000
1000,1,518
1000,1,144
0,0,1000
1000,1,68
1000,1,100
0,0,1000
1000,1,226
1000,1,166
1000,1,88
1000,1,118
1000,1,100
1000,1,108
0,0,1000
1000,1,156
1000,1,238
0,0,1000
1000,1,126
1000,1,98
1000,1,100
1000,1,108
0,0,1000
0,0,1000
1000,1,122
0,0,1000
1000,1,108
1000,1,92
1000,1,70
1000,1,86
1000,1,112
1000,1,104
1000,1,104
1000,1,80
0,0,1000
0,0,1000
1000,1,90
1000,1,120
1000,1,96
1000,1,98
1000,1,84
1000,1,98
1000,1,156
0,0,1000
0,0,1000
1000,1,120
1000,1,106
1000,1,707
0,0,1000
1000,1,126
1000,1,568
1000,1,146
0,0,1000
1000,1,108
0,0,1000
1000,1,146
0,0,1000
1000,1,99
1000,1,76
0,0,1000
1000,1,106
0,0,1000
0,0,1000
1000,1,109
1000,1,104
0,0,1000
1000,1,198
0,0,1000
1000,1,88
1000,1,114
0,0,1000
1000,1,96
0,0,1000
0,0,1000
1000,1,98
1000,1,288
0,0,1000
0,0,1000
1000,1,156
0,0,1000
1000,1,90
0,0,1000
0,0,1000
0,0,1000
1000,1,112
1000,1,104
0,0,1000
1000,1,98
0,0,1000
0,0,1000
