Reward,Success,Steps
-49910,0,1500
-48030,0,1500
-53970,0,1500
-46248,0,1500
-52089,0,1500
-52980,0,1500
-51891,0,1500
-52386,0,1500
-50505,0,1500
-48128,0,1500
-45555,0,1500
-45059,0,1500
-47436,0,1500
-48030,0,1500
-43179,0,1500
-47040,0,1500
-40902,0,1500
-46743,0,1500
-41892,0,1500
-44169,0,1500
-39021,0,1500
-39813,0,1500
-39021,0,1500
-37734,0,1500
-38130,0,1500
-39318,0,1500
-39417,0,1500
-39813,0,1500
-38130,0,1500
-36942,0,1500
-34071,0,1500
-32487,0,1500
-33972,0,1500
-33774,0,1500
-31100,0,1500
-34467,0,1500
-33873,0,1500
-31992,0,1500
-33180,0,1500
-32289,0,1500
-29517,0,1500
-29517,0,1500
-27933,0,1500
-28626,0,1500
-27042,0,1500
-25557,0,1500
-30012,0,1500
-29120,0,1500
-26448,0,1500
-25854,0,1500
-25062,0,1500
-25557,0,1500
-22686,0,1500
-25062,0,1500
-23478,0,1500
-24468,0,1500
-24171,0,1500
-26546,0,1500
-21894,0,1500
-21696,0,1500
-18726,0,1500
-19320,0,1500
-22587,0,1500
-23379,0,1500
-21300,0,1500
-21993,0,1500
-21399,0,1500
-19715,0,1500
-21300,0,1500
-20706,0,1500
-18033,0,1500
-20310,0,1500
-16350,0,1500
-17637,0,1500
-18231,0,1500
-18033,0,1500
-18528,0,1500
-14073,0,1500
-18330,0,1500
-16647,0,1500
-13677,0,1500
-15954,0,1500
-15063,0,1500
-15756,0,1500
-16844,0,1500
-15459,0,1500
-13974,0,1500
-14469,0,1500
-14766,0,1500
-14964,0,1500
-11697,0,1500
-11697,0,1500
-10112,0,1500
-10806,0,1500
-12291,0,1500
-12192,0,1500
-11895,0,1500
-12786,0,1500
-10707,0,1500
-12390,0,1500
-9222,0,1500
-11004,0,1500
-11004,0,1500
-8925,0,1500
-11301,0,1500
-9420,0,1500
-9915,0,1500
-11400,0,1500
-10212,0,1500
-9519,0,1500
-6152,0,1500
-7440,0,1500
-8529,0,1500
-8231,0,1500
-7241,0,1500
-6747,0,1500
-6549,0,1500
-7440,0,1500
-7439,0,1500
-8034,0,1500
-5558,0,1500
-7142,0,1500
-5955,0,1500
-5955,0,1500
-5559,0,1500
-5658,0,1500
-6053,0,1500
-5757,0,1500
-6449,0,1500
-5261,0,1500
-5063,0,1500
-5954,0,1500
-5163,0,1500
-4965,0,1500
-5955,0,1500
-6846,0,1500
-4568,0,1500
-4272,0,1500
-4271,0,1500
-5163,0,1500
