Reward,Success,Steps
-1013,0,14
985,1,16
-1030,0,31
973,1,28
961,1,40
938,1,63
-1072,0,73
927,1,74
927,1,74
-1079,0,80
-1006,0,7
960,1,41
-1096,0,97
-100,0,100
972,1,29
-1022,0,23
-1028,0,29
-100,0,100
-1031,0,32
-100,0,100
-1080,0,81
-100,0,100
-1029,0,30
-1070,0,71
-1010,0,11
-100,0,100
-1077,0,78
983,1,18
-1030,0,31
-1081,0,82
976,1,25
-1016,0,17
-1007,0,8
964,1,37
-1025,0,26
-100,0,100
990,1,11
971,1,30
-100,0,100
-1020,0,21
925,1,76
931,1,70
-1014,0,15
-100,0,100
-1097,0,98
938,1,63
-1055,0,56
-100,0,100
-1020,0,21
-100,0,100
-1042,0,43
-1026,0,27
955,1,46
-100,0,100
-1038,0,39
911,1,90
948,1,53
-1043,0,44
-1010,0,11
-100,0,100
-1062,0,63
-1049,0,50
910,1,91
-1065,0,66
969,1,32
977,1,24
-1018,0,19
975,1,26
-1030,0,31
-100,0,100
905,1,96
-1010,0,11
-1020,0,21
950,1,51
-1011,0,12
-1048,0,49
-100,0,100
-100,0,100
943,1,58
908,1,93
-100,0,100
915,1,86
-1030,0,31
-1065,0,66
919,1,82
-1053,0,54
-1037,0,38
965,1,36
-1021,0,22
-1075,0,76
938,1,63
978,1,23
961,1,40
956,1,45
-1067,0,68
966,1,35
-1019,0,20
935,1,66
986,1,15
-1068,0,69
-1053,0,54
969,1,32
-100,0,100
-1082,0,83
-1020,0,21
977,1,24
-100,0,100
950,1,51
949,1,52
925,1,76
-1068,0,69
948,1,53
-1060,0,61
-100,0,100
-1036,0,37
988,1,13
987,1,14
-1030,0,31
-1010,0,11
-1075,0,76
938,1,63
945,1,56
960,1,41
-1085,0,86
931,1,70
987,1,14
-100,0,100
-1051,0,52
-1013,0,14
954,1,47
-100,0,100
924,1,77
969,1,32
-1080,0,81
-1045,0,46
-1066,0,67
-1057,0,58
972,1,29
987,1,14
967,1,34
902,1,99
-100,0,100
982,1,19
-100,0,100
946,1,55
-1022,0,23
-100,0,100
983,1,18
969,1,32
-1049,0,50
-100,0,100
-1044,0,45
-1008,0,9
-100,0,100
981,1,20
944,1,57
984,1,17
-1028,0,29
-1066,0,67
983,1,18
993,1,8
-1038,0,39
-1030,0,31
-1008,0,9
-1017,0,18
910,1,91
980,1,21
932,1,69
976,1,25
-1035,0,36
962,1,39
971,1,30
925,1,76
-1040,0,41
931,1,70
-1089,0,90
-100,0,100
-1017,0,18
-1010,0,11
980,1,21
929,1,72
947,1,54
977,1,24
-1041,0,42
920,1,81
-100,0,100
990,1,11
-1014,0,15
-1026,0,27
-1022,0,23
-1021,0,22
966,1,35
929,1,72
914,1,87
966,1,35
925,1,76
-100,0,100
948,1,53
986,1,15
-100,0,100
-1008,0,9
-1084,0,85
954,1,47
-100,0,100
910,1,91
-100,0,100
-1043,0,44
967,1,34
991,1,10
-1036,0,37
901,1,100
-100,0,100
985,1,16
-100,0,100
971,1,30
993,1,8
949,1,52
-1037,0,38
-1025,0,26
-1096,0,97
-1025,0,26
-1041,0,42
965,1,36
967,1,34
-100,0,100
-100,0,100
942,1,59
934,1,67
-1060,0,61
-1011,0,12
995,1,6
-1024,0,25
961,1,40
958,1,43
-1064,0,65
968,1,33
-100,0,100
-1019,0,20
-1017,0,18
-1051,0,52
966,1,35
-1055,0,56
949,1,52
961,1,40
960,1,41
-1050,0,51
929,1,72
-1016,0,17
-1027,0,28
-1085,0,86
987,1,14
967,1,34
990,1,11
982,1,19
-1037,0,38
950,1,51
963,1,38
-100,0,100
-100,0,100
-1069,0,70
981,1,20
-100,0,100
-100,0,100
951,1,50
976,1,25
-100,0,100
-1048,0,49
975,1,26
-1045,0,46
-1015,0,16
980,1,21
-100,0,100
979,1,22
930,1,71
-1045,0,46
-100,0,100
-100,0,100
-100,0,100
-1017,0,18
-1024,0,25
-100,0,100
-1077,0,78
-100,0,100
-1009,0,10
-1038,0,39
-1055,0,56
973,1,28
-1019,0,20
-1043,0,44
-1008,0,9
-100,0,100
-1063,0,64
-1021,0,22
-1081,0,82
983,1,18
974,1,27
-100,0,100
-1016,0,17
-1049,0,50
-1020,0,21
961,1,40
954,1,47
968,1,33
-1093,0,94
-1082,0,83
-1086,0,87
-1061,0,62
-100,0,100
-1057,0,58
-100,0,100
-1057,0,58
-1096,0,97
-100,0,100
-1059,0,60
982,1,19
988,1,13
-1055,0,56
-1047,0,48
-1036,0,37
-1020,0,21
980,1,21
-100,0,100
-100,0,100
-1099,0,100
991,1,10
-100,0,100
-1028,0,29
945,1,56
957,1,44
-1033,0,34
974,1,27
-1099,0,100
933,1,68
-1027,0,28
989,1,12
-1011,0,12
992,1,9
985,1,16
965,1,36
-1058,0,59
-1041,0,42
988,1,13
973,1,28
-1041,0,42
958,1,43
-1058,0,59
-1026,0,27
941,1,60
926,1,75
-100,0,100
911,1,90
976,1,25
-1055,0,56
968,1,33
977,1,24
-100,0,100
-1026,0,27
995,1,6
-1052,0,53
974,1,27
991,1,10
905,1,96
928,1,73
964,1,37
-100,0,100
-100,0,100
970,1,31
984,1,17
-100,0,100
-100,0,100
985,1,16
951,1,50
-1056,0,57
-1017,0,18
-1013,0,14
-1036,0,37
975,1,26
979,1,22
