Reward,Success,Steps
-1012,0,13
-1025,0,26
973,1,28
993,1,8
959,1,42
970,1,31
-1044,0,45
981,1,20
949,1,52
938,1,63
-1026,0,27
-100,0,100
-100,0,100
-100,0,100
938,1,63
-100,0,100
-1088,0,89
-100,0,100
-100,0,100
902,1,99
948,1,53
979,1,22
-1068,0,69
-1009,0,10
-1068,0,69
-1026,0,27
-1015,0,16
-1034,0,35
981,1,20
-1050,0,51
-100,0,100
969,1,32
-100,0,100
953,1,48
964,1,37
927,1,74
959,1,42
946,1,55
-100,0,100
995,1,6
978,1,23
963,1,38
-1041,0,42
-1008,0,9
-100,0,100
-100,0,100
-1076,0,77
-1019,0,20
974,1,27
976,1,25
-1013,0,14
-1049,0,50
-100,0,100
933,1,68
-1022,0,23
960,1,41
-1044,0,45
962,1,39
-1011,0,12
-1029,0,30
961,1,40
974,1,27
-100,0,100
-100,0,100
-100,0,100
978,1,23
981,1,20
979,1,22
-100,0,100
973,1,28
-1005,0,6
-1055,0,56
-100,0,100
995,1,6
-100,0,100
-100,0,100
942,1,59
-1015,0,16
930,1,71
946,1,55
977,1,24
918,1,83
933,1,68
-1055,0,56
-100,0,100
986,1,15
-100,0,100
-1013,0,14
971,1,30
-100,0,100
964,1,37
-1030,0,31
972,1,29
-1059,0,60
952,1,49
-100,0,100
-1026,0,27
942,1,59
-1035,0,36
-1031,0,32
967,1,34
-1010,0,11
-100,0,100
967,1,34
-1015,0,16
-1012,0,13
-100,0,100
985,1,16
988,1,13
909,1,92
-1025,0,26
941,1,60
-100,0,100
975,1,26
-100,0,100
980,1,21
-100,0,100
-100,0,100
-1010,0,11
-100,0,100
-100,0,100
-1080,0,81
963,1,38
-100,0,100
-100,0,100
916,1,85
-1018,0,19
-1014,0,15
977,1,24
922,1,79
-1057,0,58
-1010,0,11
-1021,0,22
-1066,0,67
906,1,95
957,1,44
-1014,0,15
991,1,10
-100,0,100
-1041,0,42
981,1,20
-1008,0,9
-1024,0,25
-100,0,100
971,1,30
967,1,34
981,1,20
-100,0,100
934,1,67
964,1,37
-1062,0,63
948,1,53
949,1,52
-100,0,100
978,1,23
-100,0,100
-1092,0,93
967,1,34
985,1,16
961,1,40
-100,0,100
-1039,0,40
956,1,45
-100,0,100
-100,0,100
-1076,0,77
943,1,58
-100,0,100
-1009,0,10
923,1,78
926,1,75
-1009,0,10
-1092,0,93
989,1,12
-1022,0,23
-1077,0,78
-100,0,100
-1072,0,73
-1040,0,41
977,1,24
974,1,27
954,1,47
-1033,0,34
-1019,0,20
953,1,48
-100,0,100
976,1,25
-1005,0,6
-1037,0,38
-1016,0,17
-100,0,100
-100,0,100
989,1,12
993,1,8
-100,0,100
943,1,58
-1053,0,54
-100,0,100
966,1,35
961,1,40
950,1,51
-1018,0,19
902,1,99
963,1,38
-100,0,100
-100,0,100
-1012,0,13
-100,0,100
-1052,0,53
-1097,0,98
970,1,31
-1009,0,10
964,1,37
-100,0,100
964,1,37
956,1,45
-100,0,100
986,1,15
-1079,0,80
980,1,21
-1012,0,13
969,1,32
-1047,0,48
933,1,68
-1021,0,22
-1006,0,7
-1010,0,11
943,1,58
-1013,0,14
-1098,0,99
955,1,46
-1083,0,84
986,1,15
965,1,36
-100,0,100
-1060,0,61
-1013,0,14
-1028,0,29
-100,0,100
-100,0,100
-100,0,100
-1047,0,48
-100,0,100
984,1,17
-1035,0,36
-1022,0,23
-100,0,100
945,1,56
989,1,12
989,1,12
-100,0,100
949,1,52
935,1,66
944,1,57
984,1,17
929,1,72
-100,0,100
-1031,0,32
988,1,13
978,1,23
-1031,0,32
-1052,0,53
-1079,0,80
986,1,15
-100,0,100
-1075,0,76
961,1,40
-1063,0,64
-1011,0,12
-1011,0,12
-1027,0,28
994,1,7
-100,0,100
-100,0,100
981,1,20
-1066,0,67
906,1,95
-1010,0,11
940,1,61
-100,0,100
990,1,11
910,1,91
918,1,83
-1071,0,72
-100,0,100
992,1,9
970,1,31
986,1,15
951,1,50
953,1,48
-1055,0,56
967,1,34
-100,0,100
-1038,0,39
905,1,96
956,1,45
-100,0,100
952,1,49
-100,0,100
-1089,0,90
992,1,9
-100,0,100
-1072,0,73
-1048,0,49
-100,0,100
-1015,0,16
-100,0,100
-1045,0,46
930,1,71
982,1,19
-100,0,100
934,1,67
-100,0,100
-1062,0,63
-100,0,100
-1096,0,97
982,1,19
-1090,0,91
973,1,28
-100,0,100
-1034,0,35
-100,0,100
986,1,15
-1033,0,34
916,1,85
-1018,0,19
-1033,0,34
-1046,0,47
931,1,70
-1059,0,60
-1028,0,29
-1029,0,30
-1046,0,47
-1011,0,12
950,1,51
-1045,0,46
971,1,30
-1007,0,8
-1022,0,23
-1033,0,34
976,1,25
-100,0,100
-1061,0,62
912,1,89
-1023,0,24
-1036,0,37
-100,0,100
905,1,96
981,1,20
-1031,0,32
-1087,0,88
-100,0,100
943,1,58
-100,0,100
970,1,31
965,1,36
955,1,46
935,1,66
-1010,0,11
-100,0,100
-100,0,100
956,1,45
-100,0,100
-1093,0,94
-1025,0,26
-1045,0,46
-1018,0,19
-100,0,100
-1010,0,11
978,1,23
-100,0,100
948,1,53
977,1,24
944,1,57
-100,0,100
-100,0,100
941,1,60
-100,0,100
974,1,27
-100,0,100
989,1,12
-1052,0,53
929,1,72
991,1,10
-1010,0,11
969,1,32
-1035,0,36
-1066,0,67
-1008,0,9
-1022,0,23
951,1,50
935,1,66
985,1,16
-1009,0,10
-1063,0,64
976,1,25
938,1,63
935,1,66
-1012,0,13
-100,0,100
931,1,70
942,1,59
-100,0,100
929,1,72
938,1,63
-100,0,100
991,1,10
-100,0,100
908,1,93
914,1,87
985,1,16
-1056,0,57
-100,0,100
-1033,0,34
-100,0,100
-1063,0,64
-1033,0,34
-1035,0,36
-1008,0,9
-1010,0,11
-1072,0,73
-100,0,100
-1026,0,27
-1092,0,93
-1015,0,16
922,1,79
969,1,32
-100,0,100
-100,0,100
-100,0,100
-1089,0,90
-100,0,100
952,1,49
-100,0,100
-1007,0,8
-1016,0,17
976,1,25
947,1,54
-100,0,100
-1006,0,7
-1039,0,40
-100,0,100
-1013,0,14
984,1,17
992,1,9
947,1,54
-1012,0,13
959,1,42
-100,0,100
-100,0,100
-100,0,100
970,1,31
-1027,0,28
-1010,0,11
-1021,0,22
-1024,0,25
909,1,92
-100,0,100
-100,0,100
-1056,0,57
-100,0,100
-1047,0,48
-100,0,100
965,1,36
-100,0,100
925,1,76
-1056,0,57
-1083,0,84
-1024,0,25
905,1,96
981,1,20
-1074,0,75
944,1,57
963,1,38
989,1,12
-1076,0,77
987,1,14
-100,0,100
-100,0,100
-100,0,100
-1008,0,9
928,1,73
-1039,0,40
-1049,0,50
-1020,0,21
916,1,85
971,1,30
989,1,12
-1073,0,74
954,1,47
-100,0,100
913,1,88
971,1,30
960,1,41
982,1,19
-1034,0,35
-1022,0,23
977,1,24
963,1,38
923,1,78
-1017,0,18
-1032,0,33
940,1,61
-1081,0,82
-1093,0,94
-1008,0,9
-1049,0,50
952,1,49
934,1,67
-100,0,100
942,1,59
915,1,86
-1098,0,99
974,1,27
-100,0,100
-100,0,100
970,1,31
963,1,38
-1029,0,30
981,1,20
