Reward,Success,Steps
982,1,19
-1020,0,21
-1027,0,28
961,1,40
-1022,0,23
-1065,0,66
-1070,0,71
928,1,73
-1052,0,53
992,1,9
-1063,0,64
977,1,24
-1028,0,29
-100,0,100
-100,0,100
-100,0,100
981,1,20
-1021,0,22
974,1,27
-100,0,100
977,1,24
969,1,32
969,1,32
936,1,65
-1070,0,71
-100,0,100
-100,0,100
932,1,69
-100,0,100
995,1,6
-1097,0,98
985,1,16
921,1,80
967,1,34
964,1,37
989,1,12
-100,0,100
968,1,33
-1009,0,10
-100,0,100
-100,0,100
932,1,69
987,1,14
-100,0,100
-1045,0,46
-100,0,100
905,1,96
904,1,97
995,1,6
961,1,40
-100,0,100
-1040,0,41
-100,0,100
973,1,28
976,1,25
-1028,0,29
-1015,0,16
-1042,0,43
960,1,41
-1068,0,69
-100,0,100
956,1,45
917,1,84
975,1,26
-100,0,100
-1014,0,15
-1067,0,68
-1044,0,45
-1048,0,49
-1049,0,50
-100,0,100
-100,0,100
-1056,0,57
-1091,0,92
-100,0,100
-1023,0,24
917,1,84
977,1,24
-1020,0,21
-100,0,100
971,1,30
-1060,0,61
911,1,90
-100,0,100
959,1,42
-100,0,100
-1025,0,26
-1044,0,45
-1090,0,91
-1065,0,66
-1038,0,39
-100,0,100
-1038,0,39
-100,0,100
977,1,24
-1013,0,14
-1025,0,26
-1011,0,12
-100,0,100
-1032,0,33
-1008,0,9
932,1,69
969,1,32
-1031,0,32
-1008,0,9
-1034,0,35
-1016,0,17
974,1,27
-1039,0,40
977,1,24
938,1,63
-1007,0,8
-1032,0,33
-1086,0,87
-1027,0,28
-100,0,100
-1015,0,16
-1015,0,16
965,1,36
-1019,0,20
-1032,0,33
-1045,0,46
973,1,28
-1034,0,35
-100,0,100
-1036,0,37
-100,0,100
923,1,78
924,1,77
954,1,47
-1063,0,64
-100,0,100
971,1,30
953,1,48
957,1,44
-1029,0,30
982,1,19
-1069,0,70
-1024,0,25
-1056,0,57
-1047,0,48
-1014,0,15
977,1,24
-1030,0,31
943,1,58
-100,0,100
959,1,42
-100,0,100
-1017,0,18
-1088,0,89
-1028,0,29
983,1,18
-100,0,100
936,1,65
995,1,6
903,1,98
-1056,0,57
902,1,99
934,1,67
981,1,20
-100,0,100
976,1,25
-1051,0,52
-100,0,100
-1010,0,11
983,1,18
-1059,0,60
906,1,95
930,1,71
989,1,12
-1010,0,11
942,1,59
-1009,0,10
977,1,24
953,1,48
-100,0,100
964,1,37
992,1,9
924,1,77
-1047,0,48
-1033,0,34
911,1,90
-1030,0,31
973,1,28
-1096,0,97
941,1,60
-1056,0,57
978,1,23
-1028,0,29
-100,0,100
-1080,0,81
-100,0,100
972,1,29
-1025,0,26
-1063,0,64
942,1,59
968,1,33
-1024,0,25
-1079,0,80
-1039,0,40
956,1,45
-1027,0,28
-100,0,100
-100,0,100
-1056,0,57
913,1,88
-100,0,100
-1077,0,78
-1026,0,27
988,1,13
966,1,35
-1036,0,37
-100,0,100
921,1,80
987,1,14
-1052,0,53
963,1,38
971,1,30
-100,0,100
-100,0,100
929,1,72
995,1,6
979,1,22
-1033,0,34
-1032,0,33
-1023,0,24
-1006,0,7
980,1,21
971,1,30
-1076,0,77
975,1,26
-1032,0,33
-100,0,100
-1047,0,48
-1079,0,80
964,1,37
-1045,0,46
-1049,0,50
965,1,36
-1094,0,95
964,1,37
-1066,0,67
-1041,0,42
973,1,28
-1036,0,37
992,1,9
974,1,27
-1058,0,59
990,1,11
-100,0,100
938,1,63
-1064,0,65
955,1,46
-1028,0,29
-1046,0,47
957,1,44
-1050,0,51
-1024,0,25
987,1,14
-1043,0,44
941,1,60
-1052,0,53
-100,0,100
-1004,0,5
977,1,24
-100,0,100
-1010,0,11
-1073,0,74
-1007,0,8
-1004,0,5
-100,0,100
-100,0,100
-1025,0,26
953,1,48
966,1,35
947,1,54
911,1,90
911,1,90
-100,0,100
988,1,13
965,1,36
-100,0,100
-1065,0,66
975,1,26
-1024,0,25
957,1,44
910,1,91
-1013,0,14
939,1,62
927,1,74
-1016,0,17
980,1,21
-100,0,100
-1014,0,15
-100,0,100
-100,0,100
-1046,0,47
981,1,20
-1051,0,52
986,1,15
-100,0,100
-100,0,100
-1040,0,41
941,1,60
-1007,0,8
-100,0,100
-1034,0,35
929,1,72
932,1,69
-1083,0,84
-1023,0,24
-1012,0,13
-1062,0,63
989,1,12
967,1,34
-1015,0,16
993,1,8
-1006,0,7
928,1,73
-1071,0,72
-100,0,100
-100,0,100
957,1,44
-100,0,100
944,1,57
-1025,0,26
-1009,0,10
962,1,39
937,1,64
964,1,37
980,1,21
-100,0,100
977,1,24
912,1,89
980,1,21
-1014,0,15
953,1,48
980,1,21
959,1,42
-1073,0,74
-1054,0,55
-100,0,100
-1042,0,43
958,1,43
965,1,36
978,1,23
-1060,0,61
-100,0,100
907,1,94
-100,0,100
965,1,36
-100,0,100
966,1,35
966,1,35
986,1,15
-100,0,100
981,1,20
-100,0,100
