Num episodes,Cumulative rewards
10,"[-1260, -386, -1287, -1270, -1285, -1260, -712, -1273, -1306, 4]"
20,"[-1288, -1289, -728, -506, -1269, -1269, -1253, -1285, -1280, -1262]"
30,"[-1261, -1255, -320, -1299, -1306, -1248, -1270, -1261, -240, -1279]"
40,"[-1253, -1247, -1326, -542, 136, -1310, -1261, -1267, -1279, 0]"
50,"[-1276, -1259, -1259, -1297, -1250, -1270, -1283, -1277, -1276, -1266]"
60,"[-1264, -1282, -1274, -1253, -1248, -1273, -98, -1249, -1286, -1276]"
70,"[-1268, -402, -1265, -1293, -1255, 28, -1267, -1289, -1275, -1326]"
80,"[-1284, -1267, -454, -1270, -632, -1296, -1262, -766, -1261, -1278]"
90,"[-1308, -1289, -1283, -1258, -1289, -1277, -1277, -100, -1255, -1270]"
100,"[-1278, -1248, -1275, -1304, -1271, -1267, -1263, -1264, -734, -1257]"
110,"[-1301, -1252, -1257, -1257, -1276, -1273, -1252, -1293, -1245, -556]"
120,"[-446, -1268, -1271, -1293, -1292, -1335, -1278, -1264, -1317, -1262]"
130,"[-418, -1265, -1253, -1280, -1277, -1250, -1288, -1280, -1271, -1301]"
140,"[-1264, -1268, -1271, -1263, -1317, -1286, -1267, -1282, -1250, -332]"
150,"[-666, -1237, -1280, -1275, 142, -424, -1278, -1315, -1302, -212]"
160,"[-1305, -1283, -1271, -1261, -1285, -1255, -1262, -1294, -478, -1254]"
170,"[-624, -396, -1285, -1272, -1256, -1271, -1304, -1271, -1253, -1278]"
180,"[-440, -1248, -1283, -1268, -1304, -1240, -266, -1294, -116, -1267]"
190,"[-1264, -1266, -1275, -1282, -458, -1308, -1268, -1256, -1255, -1273]"
200,"[-596, -1283, -1267, -1267, -572, -1277, -482, -686, -1286, -1266]"
210,"[-1276, -1262, -1263, -1292, -1267, -1271, -1308, -1259, -1291, -1261]"
220,"[-1255, -130, -1291, -1280, -1309, -1267, -1263, -1267, 74, -1286]"
230,"[-1262, -1280, -548, -1264, -1229, -1243, -1285, -464, -1283, 96]"
240,"[-1261, -1252, -1295, -1263, 20, -1241, -1307, -1293, -1253, -1294]"
250,"[-1275, -1258, -150, -1300, -1275, -1273, -1265, -1259, -736, -1288]"
260,"[-1267, -1285, 168, -1262, -1273, -1247, -1302, -1291, -1290, -1282]"
270,"[-1276, -1271, -1284, -1267, -1261, -1311, -408, -1251, -1276, -1306]"
280,"[-1292, -330, -1248, -1248, -1270, -1247, -1274, -546, -1268, -358]"
290,"[-714, -1286, -1269, -748, -726, -1294, -1264, -1304, -648, -1271]"
300,"[-1256, -680, -1277, -1236, -674, -694, -40, -1266, -1281, -1289]"
310,"[-1264, -306, -1260, -6, -1251, -1272, -1270, -1254, -1282, -1308]"
320,"[-1273, -338, -1274, -1285, -1251, -144, -52, -1272, -1283, -1263]"
330,"[-722, -738, -1318, 106, -1279, -1238, -658, -1266, -1291, -1276]"
340,"[-1297, -1287, -1265, -508, -1274, -734, -490, -1276, -324, -1257]"
350,"[-8, -472, -1268, -1284, -1274, -490, -1263, -1245, -156, -1295]"
360,"[-1273, -1288, -1294, -1278, -1265, 46, -1257, -1274, -284, -176]"
370,"[-1261, -1264, -1322, -1270, -694, -1288, -1280, -1292, -194, -1297]"
380,"[-140, -1263, -1258, -1252, -484, 50, -586, -566, -1298, -1258]"
390,"[-1257, -8, -1263, -1250, -1310, -670, -1244, -766, -1252, -184]"
400,"[-368, -1274, -1264, -1302, -1266, -458, -1296, -1256, -1256, -1266]"
410,"[-1332, -1268, -1272, -1276, -686, -1297, -1269, -1258, -1281, -1296]"
420,"[-1259, -1276, -1281, -1260, -1284, -522, -1286, -218, -1279, -1262]"
430,"[-1259, -1255, -1273, -1261, -602, -1260, 82, -1251, -1283, -1250]"
440,"[-1300, -106, -1249, -418, -1258, -1247, -1279, -1283, -640, -36]"
450,"[-468, -1254, -1280, -764, -152, -1279, -554, -1256, 8, -1263]"
460,"[-1284, -288, -1290, -1255, -192, -386, -656, -726, -478, -736]"
470,"[166, -1279, -300, -96, -602, -554, -1264, -626, -1248, -644]"
480,"[-672, -726, -424, -1275, -318, -478, -378, -512, -1286, -140]"
490,"[-1265, -132, -80, -1275, 30, -1273, -612, -518, -116, -1272]"
