Num episodes,Cumulative rewards
10,"[-1453, -1391, -1200, -1227, -1443, -1388, -1607, -1653, -1201, -1209]"
20,"[-1204, -1576, -1513, -1785, -1200, -1442, -1221, -1801, -1338, -1287]"
30,"[-1200, -1200, -1203, -1214, -1209, -1200, -1235, -1287, -1231, -1227]"
40,"[-1262, -1250, -1254, -1216, -1264, -1261, -1244, -1266, -1247, -1269]"
50,"[-1240, -1253, -1423, -1237, -1200, -1217, -1549, -1527, -1577, -1238]"
60,"[-1204, -1474, -1214, -1203, -1215, -1232, -1249, -1829, -1224, -1202]"
70,"[-1238, -1272, -1414, -1214, -1228, -1216, -1223, -1200, -1297, -1260]"
80,"[-1273, -1312, -1285, -1317, -1338, -1309, -1209, -1355, -1223, -1259]"
90,"[-1286, -1335, -1266, -1200, -1258, -1396, -1247, -1316, -1254, -1345]"
100,"[-1209, -1206, -1203, -1207, -1204, -1204, -1204, -1212, -1206, -1203]"
110,"[-1471, -1200, -1496, -1286, -1200, -1340, -1214, -1278, -1210, -1360]"
120,"[-1271, -1331, -1229, -1430, -1263, -1284, -1264, -1364, -1216, -1304]"
130,"[-1200, -1221, -1201, -1229, -1208, -1218, -1224, -1365, -1214, -1226]"
140,"[-1217, -1201, -1202, -1211, -1200, -1209, -1200, -1200, -1204, -1202]"
150,"[-1236, -1262, -1284, -1204, -1219, -1306, -1200, -1403, -1346, -1200]"
160,"[-1272, -1201, -1259, -1234, -1200, -1408, -1515, -1203, -1224, -1273]"
170,"[-1221, -1224, -1218, -1256, -1238, -1407, -1225, -1207, -1545, -1350]"
180,"[-1306, -1203, -1549, -1472, -1205, -1200, -1203, -1217, -1204, -1200]"
190,"[-1440, -1201, -1301, -1596, -1562, -1263, -1294, -1347, -1238, -1333]"
200,"[-1215, -1244, -1691, -1250, -1375, -1315, -1234, -1244, -1588, -1407]"
210,"[-1201, -1201, -1318, -1748, -1246, -1202, -1228, -1428, -1200, -1348]"
220,"[-1399, -1238, -1208, -1200, -1201, -1204, -1249, -1203, -1261, -1216]"
230,"[-1622, -1200, -2029, -1201, -1202, -1305, -1593, -1330, -1200, -2121]"
240,"[-1754, -1374, -1319, -1204, -1298, -1226, -1503, -1294, -1276, -1306]"
250,"[-1200, -1200, -1200, -1200, -1200, -1207, -1200, -1215, -1201, -1200]"
260,"[-1393, -1232, -1246, -1233, -1334, -1321, -1377, -1200, -1201, -1259]"
270,"[-1533, -1246, -1321, -1203, -1483, -1459, -1220, -1202, -1327, -1219]"
280,"[-1200, -1204, -1392, -1292, -1200, -1200, -1201, -1326, -1357, -1379]"
290,"[-1200, -1202, -1423, -1772, -1212, -2043, -2065, -1515, -1630, -1300]"
300,"[-1206, -1202, -1200, -1241, -1200, -1495, -1200, -1231, -1202, -1201]"
310,"[-1200, -1219, -1211, -1248, -1200, -1222, -1204, -1211, -1241, -1244]"
320,"[-1622, -1499, -1852, -1209, -1728, -1201, -1205, -1304, -1593, -1743]"
330,"[-1220, -1524, -1632, -1260, -1790, -1426, -1888, -1352, -1584, -1426]"
340,"[-1227, -1200, -1372, -1210, -1200, -1227, -1217, -1200, -1279, -1207]"
350,"[-1366, -1200, -1419, -1374, -1636, -1239, -1647, -1488, -1235, -1378]"
360,"[-1201, -1200, -1207, -1203, -1231, -1212, -1201, -1200, -1201, -1245]"
370,"[-1362, -1350, -1320, -1346, -1304, -1202, -1325, -1256, -1494, -1393]"
380,"[-1386, -1687, -1401, -1606, -1443, -1200, -1200, -1278, -1288, -1202]"
390,"[-1286, -1240, -1214, -1273, -1200, -1201, -1299, -1306, -1264, -1207]"
400,"[-1247, -1203, -1294, -1236, -1224, -1206, -1205, -1221, -1222, -1440]"
410,"[-1264, -1286, -1755, -1289, -1505, -1368, -1227, -1229, -1383, -1394]"
420,"[-1396, -1403, -1584, -1218, -1707, -1354, -1201, -1658, -1944, -1207]"
430,"[-1369, -1337, -1412, -1369, -1513, -1427, -1429, -1391, -1365, -1269]"
440,"[-1253, -1313, -1263, -1672, -1590, -1702, -1816, -1455, -1277, -1226]"
450,"[-1223, -1202, -1204, -1205, -1207, -1201, -1363, -1225, -1202, -1226]"
460,"[-1217, -1201, -1242, -1212, -1245, -1213, -1219, -1234, -1241, -1279]"
470,"[-1256, -1349, -1283, -1439, -1239, -1234, -1266, -1206, -1240, -1278]"
480,"[-1203, -1285, -1215, -1244, -1287, -1209, -1285, -1271, -1272, -1257]"
490,"[-1208, -1211, -1273, -1305, -1526, -1204, -1261, -1217, -1393, -1220]"
500,"[-1865, -1285, -1280, -1285, -1264, -1291, -1641, -1200, -1252, -1249]"
510,"[-1293, -1311, -1370, -1342, -1362, -1277, -1214, -1272, -1246, -1275]"
520,"[-1206, -1222, -1577, -1796, -1379, -1636, -1645, -1356, -1281, -1240]"
530,"[-1522, -1258, -1353, -1200, -1260, -1204, -1238, -1298, -1329, -1245]"
540,"[-1403, -1318, -1357, -1293, -1389, -1448, -1214, -1383, -1323, -1436]"
550,"[-1646, -1272, -1602, -1200, -1217, -1373, -1696, -1559, -1292, -1282]"
560,"[-1212, -1264, -1754, -1237, -1237, -1201, -1207, -1223, -1241, -1200]"
570,"[-1267, -1254, -1235, -1224, -1364, -1366, -1265, -1742, -1299, -1202]"
580,"[-1945, -1221, -1948, -1449, -1694, -1200, -1221, -1396, -1429, -1210]"
590,"[-1246, -1806, -1456, -1211, -1390, -1251, -1493, -1665, -1576, -1383]"
600,"[-1319, -1601, -1200, -1700, -1375, -1798, -1800, -1386, -1818, -1256]"
610,"[-1214, -1248, -1266, -1234, -1781, -1263, -1533, -1209, -1229, -1611]"
620,"[-1289, -1258, -1568, -1288, -1253, -1248, -1214, -1236, -1302, -1218]"
630,"[-1253, -1234, -1206, -1230, -1332, -1224, -1223, -1200, -1524, -1289]"
640,"[-1503, -1222, -1664, -1688, -1603, -1220, -1586, -1743, -1557, -1275]"
650,"[-1238, -1712, -1278, -1253, -1248, -1293, -1251, -1289, -1256, -1280]"
660,"[-1200, -1447, -1387, -1207, -1225, -1778, -1249, -1511, -1212, -1221]"
670,"[-1220, -1258, -1204, -1207, -1202, -1200, -1218, -1208, -1232, -1201]"
680,"[-1566, -1361, -1372, -1779, -1442, -1594, -1242, -1553, -1371, -1314]"
690,"[-1272, -1281, -1222, -1205, -1315, -1272, -1200, -1362, -1266, -2057]"
700,"[-1202, -1987, -1945, -1369, -1330, -1504, -1753, -1975, -1583, -1927]"
710,"[-1203, -1257, -1236, -1206, -1223, -1251, -1207, -1483, -1385, -1200]"
720,"[-1337, -1206, -1221, -1356, -1367, -1420, -2025, -1478, -1221, -1254]"
730,"[-1249, -1204, -1312, -1223, -1212, -1217, -1236, -1239, -1210, -1291]"
740,"[-1232, -1224, -1291, -1785, -1224, -1484, -1335, -1217, -1595, -1200]"
750,"[-1225, -1230, -1218, -1249, -1241, -1202, -1282, -1242, -1208, -1295]"
760,"[-1236, -1218, -1200, -1237, -1200, -1453, -1204, -1320, -1219, -1201]"
770,"[-1228, -1205, -1224, -1754, -1291, -1245, -1724, -1257, -1216, -1209]"
780,"[-1230, -1268, -1207, -1212, -1227, -1207, -1298, -1232, -1269, -1285]"
790,"[-1200, -1217, -1524, -1253, -1681, -1302, -1265, -1294, -1229, -1214]"
800,"[-1225, -1245, -1323, -1360, -1275, -1248, -1296, -1270, -1363, -1453]"
810,"[-1214, -1255, -1200, -1290, -1259, -1277, -1218, -1522, -1253, -1236]"
820,"[-1208, -1261, -1231, -1241, -1207, -1223, -1215, -1224, -1205, -1230]"
830,"[-1469, -1557, -1419, -1373, -1225, -1231, -1404, -1229, -1375, -1341]"
840,"[-1473, -1748, -1336, -1766, -1202, -1892, -1918, -1204, -1952, -1720]"
850,"[-1209, -1313, -1287, -1238, -1296, -1321, -1200, -1958, -1437, -1271]"
860,"[-1681, -1246, -1204, -1284, -1242, -1247, -1245, -1959, -1221, -1367]"
870,"[-1256, -1204, -1352, -1250, -1216, -1230, -1283, -1253, -1251, -1457]"
880,"[-1239, -1227, -1205, -1261, -1203, -1212, -1261, -1251, -1200, -1217]"
890,"[-1200, -1222, -1336, -1253, -1217, -1253, -1211, -1228, -1227, -1283]"
900,"[-1490, -1251, -1234, -1223, -1248, -1452, -1224, -1289, -1228, -1253]"
910,"[-1599, -1398, -1226, -1329, -1536, -1359, -1286, -1387, -1254, -1276]"
920,"[-1251, -1246, -1270, -1338, -1272, -1277, -1655, -1236, -1267, -1364]"
930,"[-1459, -1237, -1434, -1456, -1223, -1200, -1350, -1565, -1652, -1357]"
940,"[-1225, -1217, -1215, -1264, -1228, -1213, -1207, -1210, -1215, -1310]"
950,"[-1211, -1228, -1212, -1860, -1208, -1248, -1244, -1231, -1295, -1250]"
960,"[-1225, -1381, -1484, -1371, -1313, -1200, -1273, -1234, -1209, -1302]"
970,"[-1306, -1485, -1521, -1698, -1335, -1558, -1457, -1342, -1347, -1313]"
980,"[-1306, -1255, -1447, -1350, -1216, -1264, -1858, -1713, -1313, -1217]"
990,"[-1977, -1297, -1314, -1415, -1943, -1250, -1759, -1256, -1771, -1784]"
1000,"[-1356, -1389, -1335, -1514, -1474, -1347, -1479, -1310, -1670, -1632]"
1010,"[-1593, -1226, -1200, -1216, -1208, -1579, -1266, -1565, -1208, -1205]"
1020,"[-1506, -1220, -1218, -1261, -1233, -1212, -1207, -1200, -1601, -1249]"
1030,"[-1208, -1201, -1201, -1200, -1200, -1200, -1200, -1200, -1200, -1265]"
1040,"[-1205, -1208, -1210, -1209, -1208, -1210, -1251, -1232, -1208, -1254]"
1050,"[-1233, -1233, -1202, -1472, -1486, -1556, -1452, -1209, -1200, -1223]"
1060,"[-1833, -1280, -1214, -1231, -1223, -1241, -1305, -1228, -1235, -1327]"
1070,"[-1287, -1254, -1287, -1257, -1288, -1201, -1211, -1443, -1200, -1514]"
1080,"[-1265, -1262, -1275, -1276, -1203, -1220, -1252, -1230, -1238, -1277]"
1090,"[-1349, -1247, -1449, -1565, -1210, -1489, -1573, -1360, -1605, -1235]"
1100,"[-1259, -1299, -1220, -1205, -1254, -1282, -1245, -1311, -1202, -1201]"
1110,"[-1282, -1213, -1208, -1215, -1208, -1299, -1261, -1201, -1228, -1218]"
1120,"[-1428, -1573, -1300, -1605, -1405, -1564, -1545, -1599, -1540, -1318]"
1130,"[-1261, -1353, -1244, -1286, -1535, -1204, -1278, -1226, -1226, -1216]"
1140,"[-1246, -1944, -1961, -1604, -1278, -1816, -1347, -1885, -1865, -1230]"
1150,"[-1209, -1264, -1204, -1202, -1282, -1200, -1215, -1399, -1420, -1200]"
1160,"[-1630, -1296, -1530, -1540, -1563, -1210, -1298, -1606, -1255, -1216]"
1170,"[-1219, -1241, -1481, -1367, -1465, -1245, -1308, -1324, -1391, -1284]"
1180,"[-1258, -1244, -1247, -1233, -1265, -1257, -1231, -1374, -1319, -1303]"
1190,"[-1247, -1299, -1277, -1229, -1272, -1280, -1271, -1235, -1310, -1297]"
1200,"[-1339, -1202, -1427, -1225, -1448, -1342, -1214, -1227, -1388, -1476]"
1210,"[-1368, -1589, -1587, -1439, -1415, -1716, -1339, -1407, -1200, -1382]"
1220,"[-1263, -1283, -1215, -1459, -1222, -1224, -1306, -1292, -1371, -1213]"
1230,"[-1200, -1201, -1203, -1375, -1200, -1202, -1210, -1304, -1204, -1248]"
1240,"[-1940, -1791, -1298, -1991, -1887, -1773, -1300, -1965, -1817, -1733]"
1250,"[-1231, -1235, -1231, -1237, -1256, -1654, -1270, -1250, -1364, -1226]"
1260,"[-1659, -1223, -1427, -1293, -1501, -1205, -1250, -1221, -1790, -1826]"
1270,"[-1222, -1215, -1492, -1237, -1239, -1325, -1262, -1226, -1227, -1208]"
1280,"[-1202, -1258, -1203, -1232, -1205, -1234, -1226, -1233, -1275, -1239]"
1290,"[-1330, -1439, -1278, -1411, -1271, -1267, -1323, -1428, -1350, -1261]"
1300,"[-1699, -1409, -1646, -1383, -1228, -1630, -1967, -1838, -2034, -1715]"
1310,"[-1202, -1223, -1254, -1335, -1242, -1207, -1214, -1236, -1219, -1223]"
1320,"[-1819, -1447, -1855, -1889, -1986, -1212, -1802, -1734, -1720, -2025]"
1330,"[-1322, -1201, -1249, -1207, -1234, -1256, -1201, -1309, -1321, -1436]"
1340,"[-1229, -1354, -1790, -1288, -1667, -1632, -1698, -1295, -1807, -1789]"
1350,"[-2077, -1661, -1551, -1973, -1784, -1517, -1467, -2055, -1935, -1812]"
1360,"[-1226, -1234, -1305, -1262, -1357, -1233, -1231, -1320, -1224, -1271]"
1370,"[-1218, -1339, -1265, -1299, -1339, -1286, -1202, -1202, -1276, -1346]"
1380,"[-1220, -1418, -1200, -1307, -1245, -1279, -1278, -1274, -1298, -1477]"
1390,"[-1247, -1344, -1211, -1248, -1407, -1288, -1481, -1212, -1209, -1224]"
1400,"[-1402, -1284, -1286, -1366, -1363, -1390, -1270, -1234, -1266, -1289]"
1410,"[-1207, -1519, -1229, -1231, -1827, -1741, -1772, -1613, -1211, -1851]"
1420,"[-1256, -1329, -1495, -1217, -1207, -1297, -1279, -1228, -1288, -1326]"
1430,"[-1426, -1265, -1335, -1324, -1216, -1263, -1314, -1482, -1649, -1696]"
1440,"[-1254, -1265, -1246, -1250, -1261, -1266, -1236, -1254, -1259, -1328]"
1450,"[-1202, -1919, -1492, -1638, -1212, -1210, -1204, -1240, -1206, -1239]"
1460,"[-1301, -1359, -1402, -1537, -1242, -1216, -1210, -1398, -1739, -1539]"
1470,"[-1263, -1284, -1285, -1235, -1303, -1308, -1245, -1245, -1201, -1219]"
1480,"[-1346, -1341, -1365, -1338, -1281, -1292, -1319, -1600, -1222, -1406]"
1490,"[-1413, -1538, -1280, -1292, -1262, -1267, -1293, -1312, -1401, -1351]"
1500,"[-1208, -1205, -1212, -1223, -1231, -1291, -1214, -1262, -1209, -1214]"
1510,"[-1249, -1412, -1207, -1234, -1233, -1262, -1250, -1270, -1258, -1217]"
1520,"[-1249, -1318, -1394, -1216, -1644, -1209, -1205, -1384, -1305, -1349]"
1530,"[-1252, -1273, -1200, -1200, -1229, -1204, -1239, -1200, -1254, -1257]"
1540,"[-1219, -1477, -1544, -1346, -1324, -1374, -1217, -1354, -1252, -1333]"
1550,"[-1417, -1228, -1200, -1204, -1205, -1204, -1687, -1202, -1210, -1552]"
1560,"[-1228, -1271, -1231, -1296, -1222, -1216, -1274, -1507, -1225, -1200]"
1570,"[-1293, -1206, -1238, -1219, -1226, -1211, -1274, -1220, -1203, -1335]"
1580,"[-1257, -1203, -1204, -1269, -1226, -1604, -1226, -1201, -1314, -1204]"
1590,"[-1379, -1296, -1499, -1609, -1568, -1255, -1459, -1409, -1324, -1895]"
1600,"[-1478, -1587, -1284, -1272, -1310, -1323, -1497, -1555, -1703, -1281]"
1610,"[-1223, -1206, -1231, -1227, -1211, -1362, -1232, -1213, -1202, -1220]"
1620,"[-1575, -1826, -1630, -1649, -1299, -1372, -1581, -1344, -1581, -1287]"
1630,"[-1281, -1365, -1905, -1207, -1218, -1938, -1262, -1313, -1215, -1870]"
1640,"[-1318, -1983, -1206, -1219, -1204, -1635, -1881, -1287, -1231, -1248]"
1650,"[-1645, -1212, -1314, -1277, -1363, -1201, -1377, -1241, -1309, -1346]"
1660,"[-1304, -1334, -1279, -1267, -1385, -1201, -1315, -1232, -1203, -1315]"
1670,"[-1237, -1206, -1216, -1200, -1200, -1217, -1243, -1214, -1203, -1203]"
1680,"[-2096, -1253, -1255, -1324, -1754, -1384, -1341, -1201, -1235, -1750]"
1690,"[-1213, -1228, -1213, -1217, -1317, -1203, -1290, -1249, -1307, -1204]"
1700,"[-1206, -1296, -1201, -1325, -1200, -1283, -1378, -1767, -1344, -1275]"
1710,"[-1282, -1207, -1436, -1402, -1356, -1303, -1260, -1213, -1296, -1439]"
1720,"[-1255, -1297, -1322, -1219, -1345, -1241, -1207, -1231, -1226, -1205]"
1730,"[-1205, -1217, -1426, -1209, -1299, -1216, -1301, -1215, -1215, -1204]"
1740,"[-1354, -1997, -1248, -2001, -1202, -1225, -1272, -1909, -1257, -1210]"
1750,"[-1200, -1225, -1307, -1269, -1206, -1228, -1236, -1241, -1646, -1212]"
1760,"[-1380, -1324, -1244, -1298, -1306, -1471, -1316, -1755, -1241, -1423]"
1770,"[-1784, -1239, -1949, -1976, -1217, -1874, -1735, -1466, -1271, -1223]"
1780,"[-1864, -1747, -1262, -1969, -1213, -1932, -1870, -1875, -1859, -1940]"
1790,"[-1247, -1200, -1451, -1200, -1200, -1468, -1268, -1295, -1200, -1295]"
1800,"[-1421, -1277, -1216, -1297, -1205, -1241, -1354, -1208, -1220, -1216]"
1810,"[-1300, -1270, -1364, -1238, -1222, -1265, -1202, -1206, -1266, -1200]"
1820,"[-1355, -1325, -1537, -1332, -1244, -1281, -1251, -1256, -1323, -1246]"
1830,"[-1221, -1209, -1267, -1205, -1270, -1232, -1221, -1288, -1213, -1224]"
1840,"[-1343, -1804, -1328, -1447, -1377, -1260, -1308, -1292, -1307, -1355]"
1850,"[-1477, -1222, -1461, -1251, -1814, -1762, -1263, -1803, -1862, -1889]"
1860,"[-1416, -1223, -1775, -1607, -1750, -1287, -1770, -1523, -1406, -1248]"
1870,"[-1244, -1212, -1236, -1221, -1214, -1337, -1201, -1422, -1200, -1200]"
1880,"[-1441, -1210, -1290, -1355, -1274, -1307, -1244, -1215, -1538, -1335]"
1890,"[-1537, -1298, -1218, -1314, -1290, -1245, -1225, -1321, -1234, -1503]"
1900,"[-1377, -1403, -1251, -1310, -1386, -1241, -1278, -1388, -1749, -1229]"
1910,"[-1237, -1271, -1401, -1350, -1367, -1395, -1271, -1246, -1396, -1225]"
1920,"[-1337, -1232, -1379, -1335, -1231, -1351, -1218, -1351, -1389, -1389]"
1930,"[-1281, -1245, -1253, -1214, -1260, -1321, -1316, -1204, -1733, -1378]"
1940,"[-1544, -1244, -1285, -1305, -1330, -1391, -1266, -1315, -1342, -1494]"
1950,"[-1226, -1226, -1219, -1246, -1200, -1240, -1230, -1201, -1202, -1200]"
1960,"[-1200, -1240, -1885, -1610, -1815, -1256, -1831, -1256, -1839, -1289]"
1970,"[-1273, -1207, -1288, -1282, -1214, -1275, -1299, -1285, -1263, -1224]"
1980,"[-1274, -1679, -1213, -1250, -1354, -1484, -1653, -1246, -1863, -1284]"
1990,"[-1260, -1263, -1224, -1231, -1205, -1206, -1213, -1200, -1204, -1212]"
2000,"[-1306, -1271, -1484, -1353, -1331, -1258, -1398, -1396, -1354, -1712]"
2010,"[-1223, -1752, -1228, -1251, -1343, -1221, -1243, -1771, -1277, -1205]"
2020,"[-1480, -1310, -1315, -1256, -1589, -1430, -1501, -1591, -1224, -1683]"
2030,"[-1256, -1204, -1227, -1215, -1213, -1339, -1248, -1233, -1237, -1247]"
2040,"[-1208, -1229, -1201, -1229, -1346, -1200, -1234, -1215, -1200, -1209]"
2050,"[-1236, -1259, -1295, -1296, -1220, -1221, -1218, -1283, -1259, -1220]"
2060,"[-1250, -1325, -1266, -1202, -1203, -1228, -1219, -1233, -1213, -1209]"
2070,"[-1931, -1627, -1692, -1596, -1912, -1882, -1342, -1645, -1535, -1915]"
2080,"[-1297, -1327, -1895, -1722, -1999, -1314, -1364, -1394, -1422, -1754]"
2090,"[-1277, -1286, -1209, -1484, -1216, -1374, -1516, -1306, -1213, -1204]"
2100,"[-1225, -1226, -1232, -1222, -1202, -1296, -1206, -1225, -1213, -1233]"
2110,"[-1422, -1303, -1239, -1226, -1267, -1217, -1232, -1216, -1207, -1204]"
2120,"[-1220, -1201, -1201, -1310, -1202, -1306, -1200, -1286, -1275, -1224]"
2130,"[-1564, -1490, -1316, -1769, -1275, -1725, -1376, -1605, -1341, -1906]"
2140,"[-1306, -1236, -1295, -1249, -1432, -1342, -1259, -1206, -1236, -1223]"
2150,"[-1241, -1429, -1270, -1206, -1214, -1350, -1516, -1479, -1276, -1229]"
2160,"[-1271, -1309, -1358, -1340, -1266, -1369, -1342, -1384, -1253, -1259]"
2170,"[-1246, -1336, -1322, -1217, -1485, -1228, -1223, -1235, -1248, -1410]"
2180,"[-1231, -1267, -1490, -1356, -1207, -1206, -1276, -1404, -1242, -1276]"
2190,"[-1213, -1281, -1234, -1204, -1226, -1762, -1203, -1207, -1220, -1231]"
2200,"[-1251, -1206, -1318, -1280, -1337, -1338, -1493, -1264, -1345, -1365]"
2210,"[-1347, -1285, -1235, -1234, -1363, -1271, -1251, -1206, -1205, -1309]"
2220,"[-1200, -1784, -1331, -1203, -1205, -1299, -1204, -1338, -1243, -1204]"
2230,"[-1356, -1593, -1933, -1673, -1893, -1907, -1676, -1956, -1982, -1819]"
2240,"[-1244, -1250, -1213, -1203, -1230, -1283, -1214, -1203, -1215, -1206]"
2250,"[-1398, -1285, -1748, -1305, -1218, -1677, -1205, -1219, -1205, -1693]"
2260,"[-1250, -1202, -1203, -1200, -1200, -1200, -1203, -1205, -1228, -1203]"
2270,"[-1214, -1223, -1755, -1895, -1247, -1292, -1223, -1209, -1203, -1253]"
2280,"[-1223, -1225, -1210, -1281, -1209, -1200, -1395, -1209, -1234, -1200]"
2290,"[-1200, -1201, -1269, -1222, -1332, -1221, -1426, -1222, -1232, -1221]"
2300,"[-1242, -1284, -1652, -1260, -1531, -1554, -1495, -1391, -1623, -1205]"
2310,"[-1816, -1843, -1765, -1223, -1397, -1211, -1668, -1212, -1210, -1558]"
2320,"[-1402, -1442, -1201, -1200, -1544, -1568, -1200, -1200, -1200, -1212]"
2330,"[-1212, -1250, -1227, -1251, -1263, -1234, -1256, -1220, -1645, -1203]"
2340,"[-1322, -1507, -1366, -1446, -1267, -1557, -1365, -1466, -1233, -1318]"
2350,"[-1281, -1362, -1805, -1207, -1387, -1217, -1641, -1597, -1440, -1205]"
2360,"[-1257, -1229, -1346, -1230, -1242, -1272, -1256, -1279, -1227, -1340]"
2370,"[-1326, -1203, -1283, -1344, -1389, -1303, -1208, -1282, -1408, -1200]"
2380,"[-1222, -1927, -1225, -1206, -1248, -2039, -1961, -1229, -1304, -1298]"
2390,"[-1206, -1253, -1393, -1324, -1308, -1247, -1274, -1306, -1392, -1313]"
2400,"[-1224, -1200, -1200, -1206, -1200, -1215, -1201, -1203, -1200, -1200]"
2410,"[-1208, -1200, -1219, -2011, -1212, -1279, -1246, -1213, -1539, -1232]"
2420,"[-1324, -1244, -1247, -1535, -1210, -1402, -1281, -1450, -2061, -1319]"
2430,"[-1402, -2020, -1943, -1259, -1266, -2069, -1876, -1254, -1288, -1963]"
2440,"[-1578, -1201, -1602, -1201, -1201, -1220, -1290, -1390, -1248, -1304]"
2450,"[-1473, -1207, -1418, -1213, -1215, -1218, -1230, -1306, -1204, -1783]"
2460,"[-1609, -1552, -1791, -1388, -1200, -1673, -1703, -1619, -1504, -1561]"
2470,"[-1202, -1440, -1350, -1253, -1504, -1258, -1324, -1332, -1256, -1308]"
2480,"[-1383, -1470, -1200, -1208, -1210, -1292, -1304, -1301, -1200, -1200]"
2490,"[-1703, -2053, -1867, -1457, -1260, -1917, -1708, -1869, -1810, -1979]"
2500,"[-1284, -1243, -1337, -1352, -1235, -1319, -1420, -1491, -1262, -1207]"
2510,"[-1232, -1247, -1267, -1233, -1261, -1225, -1234, -1262, -1413, -1459]"
2520,"[-1619, -1267, -1205, -1255, -1241, -1249, -1271, -1505, -1324, -1635]"
2530,"[-1202, -1209, -1224, -1203, -1273, -1200, -1216, -1200, -1275, -1632]"
2540,"[-1281, -1332, -1382, -1478, -1251, -1256, -1423, -1353, -1313, -1228]"
2550,"[-1346, -1205, -1523, -1524, -1449, -1469, -1487, -1261, -1387, -1454]"
2560,"[-1348, -1321, -1315, -1340, -1776, -1324, -1354, -1239, -1205, -1428]"
2570,"[-1338, -1218, -1394, -1303, -1335, -1319, -1346, -1356, -1382, -1339]"
2580,"[-1291, -1207, -1210, -1390, -1437, -1248, -1395, -1275, -1293, -1327]"
2590,"[-1251, -1291, -1275, -1280, -1513, -1455, -1423, -1270, -1270, -1266]"
2600,"[-1234, -1236, -1214, -1463, -1242, -1246, -1270, -1257, -1274, -1208]"
2610,"[-1334, -1339, -1237, -1609, -1402, -1306, -1279, -1238, -1246, -1534]"
2620,"[-1247, -1223, -1202, -1532, -1499, -1200, -1252, -1211, -1322, -1292]"
2630,"[-1214, -1203, -1247, -1201, -1233, -1277, -1202, -1208, -1255, -1213]"
2640,"[-1329, -1242, -2027, -1269, -1275, -1270, -1271, -1983, -1254, -2029]"
2650,"[-1605, -1278, -1390, -1813, -1204, -1200, -1545, -1240, -1201, -1368]"
2660,"[-1597, -1493, -1550, -1549, -1431, -1717, -1220, -1743, -1621, -1499]"
2670,"[-1222, -1507, -1233, -1223, -1243, -1250, -1736, -1229, -1538, -1235]"
2680,"[-1277, -1375, -1288, -1335, -1358, -1355, -1238, -1207, -1260, -1221]"
2690,"[-1234, -1314, -1293, -1262, -1201, -1479, -1265, -1235, -1357, -1411]"
2700,"[-1211, -1283, -1279, -1208, -1210, -1209, -1205, -1211, -1200, -1200]"
2710,"[-1213, -1321, -1484, -1289, -1209, -1416, -1322, -1214, -1231, -1272]"
2720,"[-1222, -1318, -1204, -1241, -1343, -1211, -1235, -1207, -1355, -1464]"
2730,"[-1249, -1203, -1269, -1328, -1295, -1210, -1231, -1293, -1359, -1221]"
2740,"[-1387, -1251, -1273, -1250, -1237, -1450, -1555, -1247, -1517, -1412]"
2750,"[-1218, -1200, -1200, -1200, -1200, -1200, -1200, -1200, -1200, -1202]"
2760,"[-1731, -1237, -1869, -1349, -1224, -1654, -1379, -1298, -1222, -1200]"
2770,"[-1205, -1309, -1202, -1203, -1202, -1210, -1203, -1200, -1200, -1209]"
2780,"[-1200, -1209, -1245, -1289, -1204, -1220, -1256, -1220, -1267, -1217]"
2790,"[-1203, -1223, -1203, -1221, -1320, -1200, -1274, -1382, -1254, -1350]"
2800,"[-1207, -1211, -1200, -1204, -1223, -1208, -1204, -1220, -1208, -1201]"
2810,"[-1356, -1366, -1310, -1312, -1411, -1278, -1252, -1562, -1253, -1298]"
2820,"[-1433, -1254, -1266, -1334, -1414, -1215, -1305, -1366, -1247, -1286]"
2830,"[-1201, -1241, -1244, -1217, -1372, -1207, -1260, -1439, -1646, -1201]"
2840,"[-1214, -2010, -1918, -1246, -2074, -1270, -1404, -1209, -1236, -1237]"
2850,"[-1264, -1200, -1272, -1227, -1200, -1205, -1428, -1219, -1251, -1201]"
2860,"[-1225, -1321, -1281, -1272, -1307, -1229, -1225, -1252, -1322, -1286]"
2870,"[-1213, -1289, -1278, -1231, -1239, -1217, -1234, -1213, -1204, -1241]"
2880,"[-1263, -1209, -1277, -1201, -1203, -1200, -1208, -1207, -1203, -1225]"
2890,"[-1713, -1257, -1417, -1733, -2009, -1962, -1965, -1204, -1210, -1244]"
2900,"[-1591, -1403, -1387, -1769, -1395, -1379, -1340, -1643, -1312, -1286]"
2910,"[-1279, -1270, -1289, -1292, -1300, -1293, -1260, -1356, -1297, -1414]"
2920,"[-1480, -1546, -1462, -1897, -1203, -1201, -1214, -1218, -1209, -1234]"
2930,"[-1252, -1278, -1568, -1233, -1393, -1363, -1210, -1538, -1200, -1263]"
2940,"[-1871, -1207, -1459, -1204, -1769, -1213, -1375, -1202, -1265, -1210]"
2950,"[-1454, -1941, -1448, -1206, -1230, -1955, -1232, -1219, -1906, -1339]"
2960,"[-1280, -1273, -1294, -1402, -1273, -1256, -1260, -1202, -1230, -1279]"
