Num episodes,Cumulative rewards
10,"[-200.0, -200.0, -200.0, -200.0, 880.0, -200.0, -200.0, -200.0, -200.0, 805.0]"
20,"[-200.0, -200.0, -200.0, -200.0, 835.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
30,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
40,"[-200.0, 803.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
50,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, 880.0, -200.0, -200.0, -200.0]"
60,"[-200.0, -200.0, -200.0, -200.0, 910.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
70,"[-200.0, 803.0, 882.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
80,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
90,"[-200.0, -200.0, 873.0, -200.0, 880.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
100,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, 832.0, -200.0]"
110,"[-200.0, 877.0, 877.0, 868.0, 806.0, 882.0, 842.0, 867.0, 871.0, -200.0]"
120,"[-200.0, 906.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
130,"[-200.0, -200.0, -200.0, 808.0, -200.0, -200.0, 807.0, -200.0, -200.0, -200.0]"
140,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
150,"[879.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
160,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
170,"[-200.0, 874.0, 850.0, -200.0, 807.0, -200.0, 812.0, -200.0, 879.0, 815.0]"
180,"[-200.0, -200.0, -200.0, -200.0, 801.0, -200.0, 869.0, -200.0, 846.0, -200.0]"
190,"[866.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
200,"[802.0, 865.0, -200.0, -200.0, 814.0, -200.0, 867.0, -200.0, -200.0, 863.0]"
210,"[-200.0, 807.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
220,"[805.0, 832.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, 807.0]"
230,"[801.0, 816.0, -200.0, -200.0, -200.0, 813.0, -200.0, -200.0, -200.0, -200.0]"
240,"[-200.0, -200.0, 863.0, 869.0, -200.0, -200.0, 857.0, -200.0, 802.0, -200.0]"
250,"[803.0, 806.0, 806.0, 805.0, 865.0, 812.0, 801.0, 859.0, -200.0, 803.0]"
260,"[-200.0, 865.0, -200.0, -200.0, 838.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
270,"[-200.0, -200.0, -200.0, 867.0, -200.0, -200.0, -200.0, 859.0, 836.0, 808.0]"
280,"[-200.0, -200.0, -200.0, 869.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
290,"[858.0, 827.0, 822.0, -200.0, -200.0, -200.0, -200.0, -200.0, 802.0, 854.0]"
300,"[859.0, -200.0, -200.0, -200.0, -200.0, -200.0, 811.0, -200.0, -200.0, 864.0]"
310,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, 804.0]"
320,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, 852.0, -200.0, -200.0]"
330,"[-200.0, -200.0, 865.0, -200.0, -200.0, 804.0, -200.0, -200.0, -200.0, 806.0]"
340,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
350,"[873.0, 881.0, 880.0, 881.0, 879.0, 880.0, 880.0, 881.0, 880.0, 880.0]"
360,"[879.0, 805.0, 804.0, 877.0, 880.0, 805.0, 874.0, 806.0, 879.0, 833.0]"
370,"[836.0, -200.0, 804.0, 805.0, -200.0, 802.0, 856.0, 879.0, 805.0, -200.0]"
380,"[804.0, 805.0, 805.0, 847.0, 805.0, 878.0, 878.0, 805.0, -200.0, 878.0]"
390,"[806.0, 805.0, 806.0, 878.0, 873.0, 877.0, 863.0, 801.0, -200.0, 801.0]"
