Num episodes,Cumulative rewards
10,"[-641, -11307, -11506, -11315, -12389, -10517, -12194, -12390, -11402, -9518]"
20,"[-9633, -8141, -13887, -11307, -10112, -9031, -10320, -11897, -10806, -9351]"
30,"[-10905, -11413, -9618, -9303, -6762, -9627, -11707, -9437, -9617, -11804]"
40,"[-8342, -9424, -8236, -10410, -9027, -9829, -9722, -8503, -6700, -9733]"
50,"[-9209, -8331, -10511, -11507, -7996, -13287, -6573, -9237, -9821, -9420]"
60,"[-9426, -10310, -10512, -11713, -10311, -10517, -10910, -12099, -8541, -10611]"
70,"[-9038, -5055, -11015, -11016, -11316, -9031, -10708, -8247, -12398, -7248]"
80,"[-10618, -9128, -10425, -10028, -9321, -9238, -9815, -547, -9720, -502]"
90,"[-10716, -10525, -9914, -10509, -11512, -10526, -10715, -11499, -8929, -9829]"
100,"[-8234, -10120, -11217, -10616, -10019, -3976, -9137, -6180, -11505, -8535]"
110,"[-11597, -9435, -11502, -9621, -9331, -9334, -9132, -8825, -9718, -11601]"
120,"[-11013, -9131, -3497, -11514, -7346, -7321, -9419, -10707, -8134, -11810]"
130,"[-11602, -11401, -7751, -11015, -8084, -10315, -11104, -7054, -10018, -10019]"
140,"[-10213, -9322, -9532, -10321, -7444, -12601, -8546, -8348, -7344, -11017]"
150,"[-4731, -12097, -10518, -9927, -5077, -11213, -9023, -7949, -8439, -9926]"
160,"[-10412, -10415, -8231, -9424, -9922, -9125, -10512, -9831, -8632, -6285]"
170,"[-11799, -10123, -12490, -9968, -9520, -9624, -8629, -9825, -12111, -10312]"
180,"[-9132, -10315, -10311, -11103, -10516, -11111, -10718, -10014, -9718, -9518]"
190,"[-9027, -8737, -9321, -9718, -9337, -10017, -8730, -10624, -10708, -8044]"
200,"[-11309, -10411, -7441, -11416, -6977, -7954, -11598, -9123, -9719, -9726]"
210,"[-11797, -11202, -12016, -7900, -11015, -12787, -6291, -12092, -12984, -5091]"
220,"[-11906, -9220, -10718, -12704, -9618, -10417, -12296, -10514, -12598, -13380]"
230,"[-13471, -11602, -9919, -11796, -2134, -11697, -12296, -9815, -9816, -14469]"
240,"[-12588, -12094, -12094, -9915, -12687, -3142, -12699, -13973, -11995, -12687]"
250,"[-11303, -12391, -11896, -14271, -13677, -11995, -8728, -6266, -13280, -13184]"
260,"[-11208, -10707, -8337, -10014, -13874, -16153, -12192, -10915, -12489, -13196]"
270,"[-11506, -9827, -9717, -9222, -11402, -11102, -12689, -14370, -9289, -14767]"
280,"[-14569, -11202, -9921, -14371, -11993, -10812, -13101, -7983, -9623, -13185]"
290,"[-12590, -8434, -11400, -13875, -11301, -13281, -13975, -7737, -11601, -6990]"
300,"[-11697, -12688, -10410, -12290, -12093, -12292, -12293, -13182, -11015, -10311]"
310,"[-11300, -7745, -12596, -10909, -8238, -9433, -13380, -13678, -14380, -11505]"
320,"[-12991, -12990, -10410, -11016, -12984, -11701, -10213, -10922, -11409, -11005]"
330,"[-14172, -6652, -11215, -11301, -12588, -11999, -12292, -9830, -11702, -9335]"
340,"[-12700, -10508, -9693, -12798, -13380, -10420, -8728, -10410, -11802, -12100]"
