Num episodes,Cumulative rewards
10,"[-52089, -50604, -51990, -106340, -49317, -50109, -51593, -50109, -130496, -50010]"
20,"[-119310, -130695, -102678, -1500, -142971, -142773, -148811, -53475, -143862, -26250]"
30,"[-149208, -144950, -135645, -49415, -146931, -145545, -104262, -149703, -142080, -144159]"
40,"[-145545, -141882, -139110, -140793, -130200, -141783, -109310, -113271, -1500, -141486]"
50,"[-135150, -71394, -73869, -148614, -118814, -148515, -121388, -145347, -138912, -119310]"
60,"[-149802, -112677, -149703, -144653, -53376, -148614, -146435, -34368, -144356, -149604]"
70,"[-144654, -93965, -113370, -149901, -143070, -1500, -139010, -149901, -119706, -133961]"
80,"[-148218, -149901, -149901, -79314, -77631, -139605, -32091, -143565, -128418, -106935]"
90,"[-116736, -149208, -141486, -149901, -146138, -139109, -95253, -120992, -11004, -119804]"
100,"[-105549, -136734, -119310, -25458, -116340, -96540, -139209, -146931, -1500, -131388]"
110,"[-146733, -148119, -143268, -56741, -124458, -99311, -96045, -140199, -50208, -118617]"
120,"[-1500, -119705, -106044, -87035, -1995, -95451, -111884, -26052, -98223, -116835]"
130,"[-1500, -28923, -133070, -101985, -104955, -68622, -126834, -1500, -70404, -1500]"
140,"[-86046, -74067, -38328, -1500, -96639, -124755, -124853, -1500, -133071, -129804]"
150,"[-115647, -76641, -52980, -142278, -66543, -61395, -52979, -1500, -1500, -1500]"
160,"[-100500, -47139, -1500, -99906, -143763, -32289, -104460, -1500, -137229, -144159]"
170,"[-116439, -30210, -63078, -1500, -146534, -1500, -104361, -6054, -105549, -1500]"
180,"[-129309, -114261, -100401, -143267, -23378, -70107, -5361, -1500, -72978, -1500]"
190,"[-9222, -1500, -87135, -1500, -42189, -1500, -136041, -148514, -1500, -116439]"
200,"[-1500, -1500, -89016, -1500, -134258, -61791, -143069, -1500, -2786, -79908]"
210,"[-119706, -1500, -1500, -103964, -17934, -1500, -110499, -123863, -1500, -118419]"
220,"[-70205, -46842, -1500, -1500, -118518, -98322, -115449, -121488, -104262, -116934]"
