Num episodes,Cumulative rewards
10,"[-1028, 972, 976, 899, -1063, -100, -101, -1040, 919, 994]"
20,"[-1012, -1041, -1016, -100, 960, -1014, 928, -101, -100, 943]"
30,"[-1077, -1021, -1018, -1041, 984, -1059, 935, -1030, 969, 911]"
40,"[-1027, -1008, 984, -1027, -1070, -1038, 973, -1091, -1102, -1030]"
50,"[-100, 960, 949, 992, -100, -1037, 979, 983, 959, 944]"
60,"[970, -104, -100, 925, -1016, -1035, -1030, -1036, -1009, -1094]"
70,"[-1040, -1041, -1016, 915, -115, -1052, 974, -1079, 921, 956]"
80,"[956, -1007, -1045, -1054, -101, 989, 934, 967, 908, -111]"
90,"[950, -101, -110, -1041, 943, -1024, -1032, -1013, 898, 941]"
100,"[-1060, 980, -1052, 908, -1034, 965, 994, -1011, -1034, -1035]"
110,"[-1052, -1016, -1068, 925, -103, 990, -1021, -1051, -1050, 984]"
120,"[972, -1074, -1022, 989, -1078, -1012, 988, -1051, 968, 964]"
130,"[-1076, 991, 936, -1028, -1008, 913, 993, 978, 992, 971]"
140,"[984, 965, -1046, -1065, 912, 986, -1010, -1060, -1025, 940]"
150,"[987, 990, -100, 971, -1012, 956, -104, -1035, 952, 923]"
160,"[-1070, 933, 924, 941, 929, -1024, 948, 973, 979, -1007]"
170,"[925, -102, 957, -108, 967, 995, 958, -1030, -1022, -1022]"
180,"[-1044, 915, -102, 992, -1049, -1013, -1065, 990, -1080, -1049]"
190,"[-1008, -1024, 991, -1029, 971, -1072, 967, 963, -1018, -1077]"
200,"[-1087, 935, -1033, -101, -1023, -1045, 965, -1023, 939, 921]"
210,"[942, 962, -1036, -1055, 981, 897, 938, 969, -1045, 900]"
220,"[930, -1094, -1047, -101, -1095, 991, 937, 922, -1044, -1076]"
230,"[968, -107, 941, -100, -113, -1065, -1035, -1066, 944, 955]"
240,"[964, 977, -1034, -102, -100, 993, -103, 903, 972, -1020]"
250,"[986, -1034, 933, -1015, -1036, 923, -1044, -1094, 975, -100]"
260,"[976, -1069, 943, 988, 931, -1039, 967, -1098, 968, 976]"
270,"[976, -1037, -1014, -1092, 987, -1025, -1091, 945, 992, 990]"
280,"[949, -1042, -100, -100, -1023, 991, -100, 925, 937, -1032]"
290,"[-101, 987, -1029, -1021, 967, -1007, 932, 929, -1020, -1056]"
300,"[978, 959, 971, 979, -1044, 969, -103, 930, 894, -1064]"
310,"[978, -1057, -1030, 897, -1034, -130, 994, 905, -1005, -1029]"
320,"[-1040, 969, 958, -1020, -1009, 993, -102, 968, 958, -1040]"
330,"[944, -1020, 984, -1012, 901, -1053, -1044, 984, -1039, -1027]"
340,"[948, -1020, 993, -1012, -1030, 985, 978, -1059, -1040, 968]"
350,"[980, 911, 987, 988, 944, -1016, 937, 978, -117, 986]"
360,"[-112, 955, 931, -1039, 958, -1100, 986, 976, -1010, 990]"
370,"[983, 977, -105, 988, -109, 990, 985, -1059, -1034, -1084]"
380,"[961, 905, 994, -1016, 983, 951, 982, -100, 964, -105]"
390,"[953, 983, -1030, -101, 955, 960, -1044, 918, -1022, 983]"
400,"[-1052, 990, 960, 968, -1028, -1023, -1096, -100, 967, -1022]"
410,"[983, 992, -1009, 990, -1087, 981, 987, 992, 935, -1010]"
420,"[947, 952, 978, 938, 928, 959, 972, 938, -103, -1018]"
430,"[949, -1019, 958, 949, 962, 992, 977, -1020, -1015, 955]"
440,"[969, 957, -1021, 938, 928, -1016, -1030, -1092, 964, -1016]"
450,"[988, -1022, -1038, 905, 924, -1072, -1076, -1020, 987, 980]"
460,"[963, 960, -1093, 977, 935, -1016, -110, -1014, 965, 908]"
470,"[-1023, 940, -1037, 918, -1071, -1052, 975, 972, 935, -1037]"
480,"[979, 972, 983, 929, -1068, -1017, -1033, 980, -1037, 972]"
490,"[-105, -1011, 981, 917, -105, 992, 893, 995, -1015, 962]"
500,"[925, -1098, 994, -1024, -1026, 971, -100, -1022, 932, -1054]"
510,"[901, -1018, -1012, -1013, 959, -1013, -100, 938, 933, -1015]"
520,"[928, 956, -1033, -1066, -1048, -1033, 920, 946, 974, -1015]"
530,"[963, -1027, -1031, -1015, -1016, 964, 985, -107, -1055, 973]"
540,"[-1028, 979, -1022, 909, -1057, 957, 960, -1029, 941, 989]"
550,"[-1014, -1026, 991, 986, 929, -1015, 936, -1009, -103, -1015]"
560,"[974, 945, 978, 962, 914, 971, -1016, 989, -1041, 948]"
570,"[957, 984, -1041, -1032, 996, -1076, 952, -1029, 927, -1012]"
580,"[966, 913, 943, 983, -103, 975, 980, 984, -1018, 926]"
590,"[-1005, 977, -1021, 978, -1021, -1069, 960, -1055, 979, 961]"
600,"[-1066, -1060, 973, 969, 942, 992, 926, 980, -1028, -1075]"
610,"[963, 994, 954, -1060, 956, 974, -1042, -1055, -1031, -1040]"
620,"[-1036, -1105, 942, -1018, -1059, 967, 994, -1043, -101, 949]"
630,"[911, -1039, -1073, 942, -1008, 972, 968, 977, 972, -1034]"
640,"[916, 992, 984, -100, -108, -1040, 931, -1032, 925, -1083]"
650,"[-1025, 974, 990, -1079, -1024, 971, -108, -106, -1078, 966]"
660,"[931, -1044, 939, 935, 970, 964, 969, -100, -102, 988]"
670,"[-1090, -1091, 988, 982, -1083, 963, -1036, 933, 966, 953]"
680,"[977, -100, 937, 942, 981, -1011, 949, 954, 906, -1018]"
690,"[964, -1041, -1022, -1015, 959, 996, 899, -1024, 975, -1006]"
700,"[-103, 983, -1025, 969, 962, 989, 960, 938, 921, -1009]"
710,"[948, 940, 982, 983, 929, 961, -106, -1012, 984, -1041]"
720,"[965, -1031, -1013, -1019, 907, -1048, 912, 978, 972, -100]"
730,"[967, 958, -100, -100, 989, -115, -1007, -1067, -1059, 984]"
740,"[981, -1088, 905, -1031, -102, -1041, 953, 982, 950, 956]"
750,"[989, 966, -1032, 951, 963, -1074, 940, -1008, 987, 941]"
760,"[-1042, -1068, -1024, -1038, 986, 990, -1018, -100, 994, -1011]"
770,"[976, -1009, 985, -1080, 928, -1022, 928, 909, -1008, 952]"
780,"[-1041, 961, 916, -1095, 949, -1056, -102, 981, 966, 975]"
790,"[994, 982, 989, -101, 991, 990, 942, 948, -1032, 937]"
800,"[-103, 985, -1020, -1026, 940, 966, -1038, -1010, 987, 976]"
810,"[964, 969, 916, -1049, 923, 987, 982, 973, -100, 982]"
820,"[977, -1021, 988, -1036, -1074, -101, 970, 958, -1086, -100]"
830,"[978, 973, -100, 946, 967, 925, 982, 952, 982, 960]"
840,"[-102, 923, 905, -102, -101, 960, 968, 996, 984, 953]"
850,"[914, 947, 967, 968, 983, 946, -1036, -109, 907, 991]"
860,"[-1008, 946, 961, 987, 973, -1019, 956, -1027, 995, 986]"
870,"[-1046, 991, 970, -1020, 990, 952, -1070, -1073, 961, 946]"
880,"[-1028, 962, -1039, 976, 963, -1017, 970, 974, 939, -1017]"
890,"[-1023, -1040, 994, -1010, -1035, 974, -1031, -1027, 961, 989]"
900,"[978, -1060, 995, 995, -102, 951, 977, 970, -107, -105]"
910,"[-105, 993, 958, -1021, 931, 955, 965, 951, -1022, 990]"
920,"[943, 942, -1005, 965, 924, -1067, 947, 912, 978, -1045]"
930,"[-100, -1008, -1043, -1025, 941, 902, -100, 990, -1010, 992]"
940,"[-1097, 960, -1038, 934, -1008, 986, 952, 941, 953, 924]"
950,"[982, 986, 942, -111, 958, -1034, 958, 957, 983, 925]"
